name,min,max,cardinality,num_unique_values
name.id,1,4167491,-1,-1
name.imdb_id,-1,-1,-1,-1
movie_companies.id,1,2609129,-1,-1
movie_companies.movie_id,2,2525745,-1,-1
movie_companies.company_id,1,234997,-1,-1
movie_companies.company_type_id,1,2,-1,-1
aka_name.id,1,901343,-1,-1
aka_name.person_id,4,4167489,-1,-1
movie_info.id,1,14835720,-1,-1
movie_info.movie_id,1,2526430,-1,-1
movie_info.info_type_id,1,110,-1,-1
movie_keyword.id,1,4523930,-1,-1
movie_keyword.movie_id,2,2525971,-1,-1
movie_keyword.keyword_id,1,134170,-1,-1
person_info.id,1,2963664,-1,-1
person_info.person_id,4,4167491,-1,-1
person_info.info_type_id,15,39,-1,-1
comp_cast_type.id,1,4,-1,-1
complete_cast.id,1,135086,-1,-1
complete_cast.movie_id,285,2528312,-1,-1
complete_cast.subject_id,1,2,-1,-1
complete_cast.status_id,3,4,-1,-1
char_name.id,1,3140339,-1,-1
char_name.imdb_id,-1,-1,-1,-1
movie_link.id,1,29997,-1,-1
movie_link.movie_id,2,186175,-1,-1
movie_link.linked_movie_id,284,2524994,-1,-1
movie_link.link_type_id,1,17,-1,-1
company_type.id,1,4,-1,-1
cast_info.id,1,36244344,-1,-1
cast_info.person_id,1,4061926,-1,-1
cast_info.movie_id,1,2525975,-1,-1
cast_info.person_role_id,1,3140339,-1,-1
cast_info.nr_order,0,1115798165,-1,-1
cast_info.role_id,1,11,-1,-1
info_type.id,1,113,-1,-1
company_name.id,1,234997,-1,-1
company_name.imdb_id,-1,-1,-1,-1
aka_title.id,1,377960,-1,-1
aka_title.movie_id,0,2525672,-1,-1
aka_title.kind_id,1,7,-1,-1
aka_title.production_year,1888,2016,-1,-1
aka_title.episode_of_id,10,25391,-1,-1
aka_title.season_nr,1,63,-1,-1
aka_title.episode_nr,1,4315,-1,-1
kind_type.id,1,7,-1,-1
role_type.id,1,12,-1,-1
movie_info_idx.id,1,1380035,-1,-1
movie_info_idx.movie_id,2,2525793,-1,-1
movie_info_idx.info_type_id,99,113,-1,-1
keyword.id,1,134170,-1,-1
link_type.id,1,18,-1,-1
title.id,1,2528312,-1,-1
title.kind_id,1,7,-1,-1
title.production_year,1880,2019,-1,-1
title.imdb_id,-1,-1,-1,-1
title.episode_of_id,2,2528186,-1,-1
title.season_nr,1,2013,-1,-1
title.episode_nr,1,91821,-1,-1
