name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,8163.0,937429.0,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,3633.0,997959.0,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,59017.0,965631.0,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,1929.0,959908.0,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,4620.0,984716.0,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,11984.0,879492.0,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,6361.0,998549.0,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,6559.0,993939.0,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,10903.0,893300.0,-1,-1
