name,min,max,cardinality,num_unique_values
n.id,1,4167491,-1,-1
n.imdb_id,-1,-1,-1,-1
mc.id,1,2609129,-1,-1
mc.movie_id,2,2525745,-1,1087236
mc.company_id,1,234997,-1,234997
mc.company_type_id,1,2,-1,2
an.id,1,901343,-1,-1
an.person_id,4,4167489,-1,-1
mi.id,1,14835720,-1,-1
mi.movie_id,1,2526430,-1,2468825
mi.info_type_id,1,110,-1,71
mk.id,1,4523930,-1,-1
mk.movie_id,2,2525971,-1,476794
mk.keyword_id,1,134170,-1,134170
pi.id,1,2963664,-1,-1
pi.person_id,4,4167491,-1,-1
pi.info_type_id,15,39,-1,-1
cct.id,1,4,-1,-1
cc.id,1,135086,-1,-1
cc.movie_id,285,2528312,-1,-1
cc.subject_id,1,2,-1,-1
cc.status_id,3,4,-1,-1
ch_n.id,1,3140339,-1,-1
ch_n.imdb_id,-1,-1,-1,-1
ml.id,1,29997,-1,-1
ml.movie_id,2,186175,-1,-1
ml.linked_movie_id,284,2524994,-1,-1
ml.link_type_id,1,17,-1,-1
ct.id,1,4,-1,-1
ci.id,1,36244344,-1,-1
ci.person_id,1,4061926,-1,-1
ci.movie_id,1,2525975,-1,2331601
ci.person_role_id,1,3140339,-1,-1
ci.nr_order,0,1115798165,-1,-1
ci.role_id,1,11,-1,11
it.id,1,113,-1,-1
cn.id,1,234997,-1,-1
cn.imdb_id,-1,-1,-1,-1
at.id,1,377960,-1,-1
at.movie_id,0,2525672,-1,-1
at.kind_id,1,7,-1,-1
at.production_year,1888,2016,-1,-1
at.episode_of_id,10,25391,-1,-1
at.season_nr,1,63,-1,-1
at.episode_nr,1,4315,-1,-1
kt.id,1,7,-1,-1
rt.id,1,12,-1,-1
mi_idx.id,1,1380035,-1,-1
mi_idx.movie_id,2,2525793,-1,459925
mi_idx.info_type_id,99,113,-1,5
k.id,1,134170,-1,-1
lt.id,1,18,-1,-1
t.id,1,2528312,-1,2528312
t.kind_id,1,7,-1,6
t.production_year,1880,2019,-1,133
t.imdb_id,-1,-1,-1,-1
t.episode_of_id,2,2528186,-1,-1
t.season_nr,1,2013,-1,-1
t.episode_nr,1,91821,-1,-1
