name,min,max,cardinality,num_unique_values
t0.PK,0,999999,-1,-1
t1.PK,0,999999,-1,-1
t1.FK,2749.0,991204.0,-1,-1
t2.PK,0,999999,-1,-1
t2.FK,410.0,999675.0,-1,-1
t3.PK,0,999999,-1,-1
t3.FK,16088.0,991673.0,-1,-1
t4.PK,0,999999,-1,-1
t4.FK,1929.0,999995.0,-1,-1
t5.PK,0,999999,-1,-1
t5.FK,2368.0,999713.0,-1,-1
t6.PK,0,999999,-1,-1
t6.FK,11984.0,982937.0,-1,-1
t7.PK,0,999999,-1,-1
t7.FK,3963.0,998669.0,-1,-1
t8.PK,0,999999,-1,-1
t8.FK,1305.0,999050.0,-1,-1
t9.PK,0,999999,-1,-1
t9.FK,10903.0,999677.0,-1,-1
